#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 33.0799980163574, 17.8600006103516, 17.6599998474121, 17.3999996185303, 17.7100009918213
10, 59.3299980163574, 35.9399986267090, 33.7900009155273, 33.1899986267090, 34.6500015258789
15, 74.8899993896484, 54.2700004577637, 48.1900024414062, 47.7900009155273, 49.3199996948242
20, 84.1699981689453, 72.5799942016602, 58.6099967956543, 58.8699989318848, 60.9799995422363
25, 88.7500000000000, 85.5599975585938, 67.4399948120117, 67.0099945068359, 70.6100006103516
30, 91.1800003051758, 86.7900009155273, 73.1800003051758, 72.5000000000000, 76.4900054931641
35, 92.9000015258789, 88.0400009155273, 78.0599975585938, 79.1899948120117, 80.7099990844727
40, 94.2600021362305, 89.3400039672852, 81.6600036621094, 81.9899978637695, 84.4899978637695
45, 95.3499984741211, 90.6900024414062, 85.1199951171875, 85.2999954223633, 87.2900009155273
50, 96.2500000000000, 91.9300003051758, 88.0999984741211, 87.9100036621094, 89.6600036621094
55, 97.0299987792969, 93.2399978637695, 90.3199996948242, 89.6500015258789, 92.0699996948242
60, 97.6399993896484, 94.5200042724609, 92.2999954223633, 91.2200012207031, 93.3600006103516
65, 98.1599960327148, 95.6200027465820, 94.1900024414062, 93.0599975585938, 94.9400024414062
70, 98.5999984741211, 96.9199981689453, 96.1800003051758, 95.4400024414062, 96.6699981689453
75, 98.9700012207031, 98.0000000000000, 97.5399932861328, 95.9800033569336, 97.9599990844727
80, 99.1999969482422, 99.1999969482422, 99.1999969482422, 96.7300033569336, 99.1999969482422
85, 99.1999969482422, 99.1999969482422, 99.1999969482422, 97.6899948120117, 99.1999969482422
90, 99.1999969482422, 99.1999969482422, 99.1999969482422, 98.2799987792969, 99.1999969482422
95, 99.1999969482422, 99.1999969482422, 99.1999969482422, 98.2900009155273, 99.1999969482422
100, 99.1999969482422, 99.1999969482422, 99.1999969482422, 98.3899993896484, 99.1999969482422
