#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 11.4099998474121, 5.3599996566772, 5.3699998855591, 5.0299997329712, 5.2999997138977
10, 23.7399997711182, 10.2799997329712, 10.2300004959106, 10.1800003051758, 9.8800001144409
15, 33.8400001525879, 15.1899995803833, 14.9499998092651, 15.3500003814697, 15.2200002670288
20, 42.1199989318848, 20.1900005340576, 19.9499988555908, 20.2299995422363, 20.1399993896484
25, 49.5400009155273, 25.3199996948242, 25.3600006103516, 25.4000015258789, 25.7600002288818
30, 56.1100006103516, 30.5200004577637, 30.8099975585938, 30.1099987030029, 30.7799987792969
35, 61.8799972534180, 35.5900001525879, 35.3600006103516, 35.1800003051758, 35.6000022888184
40, 66.9000015258789, 40.5699996948242, 40.0200004577637, 39.6899986267090, 39.8199996948242
45, 71.5699996948242, 45.5900001525879, 44.7299995422363, 44.9500007629395, 44.9400024414062
50, 75.6100006103516, 50.7200012207031, 49.8899993896484, 49.7500000000000, 49.8400001525879
55, 79.5299987792969, 55.2999954223633, 55.2099990844727, 55.5899963378906, 55.3099975585938
60, 82.8199996948242, 60.1499977111816, 60.8400001525879, 60.0799980163574, 59.7899971008301
65, 85.7799987792969, 64.6100006103516, 65.5299987792969, 64.1100006103516, 65.5400009155273
70, 88.5299987792969, 69.5900039672852, 69.8400039672852, 69.7500000000000, 69.3799972534180
75, 90.9000015258789, 74.9100036621094, 74.4000015258789, 73.9199981689453, 74.3899993896484
80, 93.0599975585938, 79.6699981689453, 80.0199966430664, 77.8600006103516, 79.5599975585938
85, 94.8700027465820, 84.6100006103516, 84.1699981689453, 83.0400009155273, 84.1300048828125
90, 96.5500030517578, 89.7099990844727, 89.5800018310547, 87.4199981689453, 89.7800064086914
95, 97.9700012207031, 94.2900009155273, 94.2799987792969, 92.2699966430664, 93.8300018310547
100, 99.0000000000000, 99.0000000000000, 99.0000000000000, 95.5600051879883, 99.0000000000000
